Avg_Infect_over_1_period,g_val,Initial_Conditions,Max_total_pop,Min_total_pop
0.0,0.1,"[100, 1]",0.1,0.1
0.0,1.05,"[100, 1]",1.0499999999999998,1.0499999999999998
0.0,2.0,"[100, 1]",1.9999999999999996,1.9999999999999996
0.0,3.0,"[100, 1]",2.9999999999999676,2.9999999999998286
0.0,3.142857142857143,"[100, 1]",3.1428571428571423,3.1428571428571423
0.0,3.2857142857142856,"[100, 1]",3.285714285714285,3.285714285714285
0.0,3.4285714285714284,"[100, 1]",3.4285714285714275,3.4285714285714275
0.0,3.571428571428571,"[100, 1]",3.57142857142857,3.57142857142857
0.0,3.7142857142857144,"[100, 1]",3.7142857142857135,3.7142857142857135
0.0,3.857142857142857,"[100, 1]",3.8571428571428292,3.8571428571427573
0.0,4.0,"[100, 1]",3.999999999999999,3.999999999999999
0.0,4.142857142857142,"[100, 1]",4.142857142857113,4.142857142857045
0.0,4.285714285714286,"[100, 1]",4.285714285714285,4.285714285714285
0.0,4.428571428571429,"[100, 1]",4.428571428571409,4.428571428571366
0.0,4.571428571428571,"[100, 1]",4.571428571428488,4.571428571428322
0.0,4.714285714285714,"[100, 1]",4.7142857142857135,4.7142857142857135
0.0,4.857142857142857,"[100, 1]",4.857142857142742,4.857142857142538
0.0,5.0,"[100, 1]",5.0,5.0
0.0,6.0,"[100, 1]",6.0,6.0
0.0,7.0,"[100, 1]",6.999999999999998,6.999999999999998
7.482802165428133e-47,8.0,"[100, 1]",7.999999999999982,7.999999999999982
0.0343296112475846,9.0,"[100, 1]",8.118493176176141,8.11849317617612
0.06912889183730572,10.0,"[100, 1]",8.120975560715582,8.120975560715419
0.10028948240658668,11.0,"[100, 1]",8.12321412950242,8.12321412950211
0.12835478229747083,12.0,"[100, 1]",8.125243187900251,8.12524318790014
0.15376495022224906,13.0,"[100, 1]",8.127090883042877,8.127090883042566
0.17688034409959874,14.0,"[100, 1]",8.128780528439066,8.128780528438565
0.19799884464580503,15.0,"[100, 1]",8.130331600302652,8.130331600301348
0.21736884893912006,16.0,"[100, 1]",8.13176049687958,8.13176049687912
0.23519914734677938,17.0,"[100, 1]",8.133081124117679,8.133081124116819
0.2516665232314065,18.0,"[100, 1]",8.134305352355874,8.13430535235533
0.26692166584233196,19.0,"[100, 1]",8.135443376043447,8.13544337604299
0.28109381796731703,20.0,"[100, 1]",8.136503999705342,8.13650399970508
0.29429446357411976,21.0,"[100, 1]",8.137494867231819,8.137494867231526
0.306620279260075,22.0,"[100, 1]",8.138422647189838,8.138422647189385
0.31815551557602617,23.0,"[100, 1]",8.139293183699007,8.13929318369826
0.3289739327881387,24.0,"[100, 1]",8.1401116201182,8.140111620117404
0.3391403854607553,25.0,"[100, 1]",8.140882501099378,8.14088250109859
0.34871212805222207,26.0,"[100, 1]",8.141609857298434,8.141609857297876
0.3577398972291066,27.0,"[100, 1]",8.142297276089582,8.142297276088554
0.3662688142385808,28.0,"[100, 1]",8.142947960910114,8.142947960909186
0.37433914131970925,29.0,"[100, 1]",8.143564781316558,8.14356478131563
0.38198691898805315,30.0,"[100, 1]",8.144150315402223,8.14415031540143
0.38924450553360057,31.0,"[100, 1]",8.144706885905133,8.144706885904228
0.396141035808214,32.0,"[100, 1]",8.145236591076761,8.145236591074704
0.4027028130530358,33.0,"[100, 1]",8.145741331172443,8.14574133117028
0.4089536449047811,34.0,"[100, 1]",8.146222831282566,8.146222831279166
0.4149151326399533,35.0,"[100, 1]",8.146682661063318,8.146682661062297
0.4206069210917031,36.0,"[100, 1]",8.147122251875855,8.14712225187375
0.42604691532926453,37.0,"[100, 1]",8.147542911680446,8.147542911678975
0.4312514691578734,38.0,"[100, 1]",8.147945838070827,8.147945838070244
0.43623554961918587,39.0,"[100, 1]",8.148332129674463,8.148332129673793
0.4410128809861681,40.0,"[100, 1]",8.148702796171339,8.148702796170397
0.4455960711751641,41.0,"[100, 1]",8.149058767122153,8.149058767121307
0.44999672303017624,42.0,"[100, 1]",8.149400899762828,8.149400899760723
0.4542255325519402,43.0,"[100, 1]",8.149729985904793,8.149729985903152
0.4582923758216183,44.0,"[100, 1]",8.150046758064645,8.150046758063189
0.4622063861146092,45.0,"[100, 1]",8.150351894912768,8.150351894910292
0.4659760224666134,46.0,"[100, 1]",8.150646026131657,8.150646026128223
0.4696091307817576,47.0,"[100, 1]",8.150929736759062,8.150929736755936
0.47311299841191634,48.0,"[100, 1]",8.15120357108136,8.1512035710793
0.4764944030026431,49.0,"[100, 1]",8.151468036115885,8.151468036114606
0.4797596563051867,50.0,"[100, 1]",8.151723604751908,8.151723604750046
